node,class,total_occurrences,num_articles,articles
mtd principal direction,FEATURE,678,37,"Ian R. Clark, Joseph A. Cartwright.json(29); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(17); JFM_709_2012.json(35); 1-s2.0-S0191814106000101-main.json(22); 1-s2.0-S0264817216304585-main.json(13); Giacomo Dalla Valle.json(21); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(6); epjbidisperse2007.json(33); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(20); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(22); Bull & Cartwright (2009).json(31); Dos-Reis-et-al-2016-MPG.json(28); Alves_AAPG_MTDs_14.json(15); 386816a0.json(8); D. Leynaud.json(19); 1-s2.0-S0025322713000571-main.json(25); Moscardelli_and_Wood_2008.json(21); 1-s2.0-S0025322712000412-main.json(23); Wei Li a,⁎, Tiago M. Alves.json(15); 9781565762879_ch02.json(18); RichardsonetalBasinResearch2011-online (1).json(19); Submarine_Mass_Movements_on_Continental.json(42); Elverhoi, A., Breien.json(10); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(29); S. Lafuerza, N. Sultan.json(17); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(32); Simon E. Lee.json(7); 9781565762879_ch03.json(12); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(10); lacoste-et-al.json(15); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(11); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(7); J. S. Laberg.json(7); 1-s2.0-S0040195109002819-main.json(21); 845.json(14); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); 3-s2.0-B9780128130810007047-main.json(3)"
chemical effects,OTHER,531,37,"Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(13); JFM_709_2012.json(21); 1-s2.0-S0191814106000101-main.json(21); epjbidisperse2007.json(17); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(9); lacoste-et-al.json(16); Bull & Cartwright (2009).json(19); Dos-Reis-et-al-2016-MPG.json(14); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(15); D. Leynaud.json(16); Moscardelli_and_Wood_2008.json(16); 1-s2.0-S0025322712000412-main.json(12); 9781565762879_ch02.json(17); J. S. Laberg.json(11); Submarine_Mass_Movements_on_Continental.json(29); Elverhoi, A., Breien.json(22); 1-s2.0-S0040195109002819-main.json(15); S. Lafuerza, N. Sultan.json(14); 845.json(12); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(20); Simon E. Lee.json(12); Ian R. Clark, Joseph A. Cartwright.json(22); 1-s2.0-S0264817216304585-main.json(12); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(3); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(7); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(22); Alves_AAPG_MTDs_14.json(16); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(19); 3-s2.0-B9780128130810007047-main.json(13); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(6); 9781565762879_ch03.json(13); Wei Li a,⁎, Tiago M. Alves.json(11); Giacomo Dalla Valle.json(12); 386816a0.json(4); RichardsonetalBasinResearch2011-online (1).json(13); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(5); 1-s2.0-S0025322713000571-main.json(12)"
surface area,FEATURE,463,37,"Ian R. Clark, Joseph A. Cartwright.json(15); JFM_709_2012.json(16); 1-s2.0-S0264817216304585-main.json(10); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(3); lacoste-et-al.json(8); Bull & Cartwright (2009).json(29); Dos-Reis-et-al-2016-MPG.json(12); Alves_AAPG_MTDs_14.json(7); 386816a0.json(7); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(14); D. Leynaud.json(20); Moscardelli_and_Wood_2008.json(19); 1-s2.0-S0025322712000412-main.json(16); Submarine_Mass_Movements_on_Continental.json(32); Elverhoi, A., Breien.json(24); S. Lafuerza, N. Sultan.json(7); 845.json(14); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(22); Simon E. Lee.json(11); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(10); 1-s2.0-S0191814106000101-main.json(17); epjbidisperse2007.json(15); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(6); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(14); 1-s2.0-S0025322713000571-main.json(8); Wei Li a,⁎, Tiago M. Alves.json(8); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(6); J. S. Laberg.json(5); RichardsonetalBasinResearch2011-online (1).json(8); 3-s2.0-B9780128130810007047-main.json(11); 1-s2.0-S0040195109002819-main.json(10); 9781565762879_ch02.json(12); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(11); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(17); 9781565762879_ch03.json(8); Giacomo Dalla Valle.json(7); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(4)"
transparent facies distribution,FACIES,451,36,"9781565762879_ch02.json(16); epjbidisperse2007.json(18); Ian R. Clark, Joseph A. Cartwright.json(15); 3-s2.0-B9780128130810007047-main.json(8); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(12); Submarine_Mass_Movements_on_Continental.json(22); 1-s2.0-S0025322713000571-main.json(12); 9781565762879_ch03.json(12); Bull & Cartwright (2009).json(20); 1-s2.0-S0025322712000412-main.json(11); Elverhoi, A., Breien.json(13); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(18); Dos-Reis-et-al-2016-MPG.json(18); Wei Li a,⁎, Tiago M. Alves.json(10); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(15); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(27); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(4); JFM_709_2012.json(15); 1-s2.0-S0191814106000101-main.json(9); Giacomo Dalla Valle.json(12); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(10); lacoste-et-al.json(11); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(17); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(9); D. Leynaud.json(10); Moscardelli_and_Wood_2008.json(12); RichardsonetalBasinResearch2011-online (1).json(19); 1-s2.0-S0040195109002819-main.json(9); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(5); J. S. Laberg.json(13); Alves_AAPG_MTDs_14.json(15); 845.json(11); Simon E. Lee.json(9); 1-s2.0-S0264817216304585-main.json(5); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(3); S. Lafuerza, N. Sultan.json(6)"
permeability increase,OTHER,433,37,"Ian R. Clark, Joseph A. Cartwright.json(19); 9781565762879_ch03.json(20); 1-s2.0-S0191814106000101-main.json(15); Giacomo Dalla Valle.json(10); epjbidisperse2007.json(26); lacoste-et-al.json(12); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(13); Bull & Cartwright (2009).json(13); Alves_AAPG_MTDs_14.json(17); 1-s2.0-S0025322713000571-main.json(11); Moscardelli_and_Wood_2008.json(19); 1-s2.0-S0025322712000412-main.json(5); Wei Li a,⁎, Tiago M. Alves.json(2); J. S. Laberg.json(8); 3-s2.0-B9780128130810007047-main.json(22); Submarine_Mass_Movements_on_Continental.json(24); Elverhoi, A., Breien.json(15); 1-s2.0-S0040195109002819-main.json(13); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(12); S. Lafuerza, N. Sultan.json(6); 845.json(6); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(15); JFM_709_2012.json(8); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(6); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(11); Dos-Reis-et-al-2016-MPG.json(19); D. Leynaud.json(12); 9781565762879_ch02.json(18); RichardsonetalBasinResearch2011-online (1).json(15); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(4); 1-s2.0-S0264817216304585-main.json(7); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(9); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(3); 386816a0.json(5); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(4); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(6); Simon E. Lee.json(3)"
lithology distribution in mtd,FEATURE,379,36,"9781565762879_ch02.json(17); J. S. Laberg.json(13); D. Leynaud.json(20); Submarine_Mass_Movements_on_Continental.json(37); 9781565762879_ch03.json(20); Bull & Cartwright (2009).json(12); 1-s2.0-S0025322712000412-main.json(11); 1-s2.0-S0040195109002819-main.json(10); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(15); Moscardelli_and_Wood_2008.json(20); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(15); Dos-Reis-et-al-2016-MPG.json(7); S. Lafuerza, N. Sultan.json(9); Wei Li a,⁎, Tiago M. Alves.json(10); Giacomo Dalla Valle.json(18); 845.json(11); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(36); Ian R. Clark, Joseph A. Cartwright.json(5); 1-s2.0-S0191814106000101-main.json(4); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(15); Alves_AAPG_MTDs_14.json(9); 386816a0.json(1); 1-s2.0-S0025322713000571-main.json(6); RichardsonetalBasinResearch2011-online (1).json(8); 3-s2.0-B9780128130810007047-main.json(9); Elverhoi, A., Breien.json(14); 1-s2.0-S0264817216304585-main.json(5); Simon E. Lee.json(4); epjbidisperse2007.json(3); lacoste-et-al.json(4); JFM_709_2012.json(1); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(3); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(3)"
post deposition regional deformation,PROCESS,332,35,"9781565762879_ch02.json(10); J. S. Laberg.json(16); RichardsonetalBasinResearch2011-online (1).json(11); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(18); lacoste-et-al.json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(20); 9781565762879_ch03.json(17); Bull & Cartwright (2009).json(9); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(7); 1-s2.0-S0040195109002819-main.json(17); Moscardelli_and_Wood_2008.json(10); Submarine_Mass_Movements_on_Continental.json(13); 1-s2.0-S0264817216304585-main.json(7); Giacomo Dalla Valle.json(9); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(18); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(14); Ian R. Clark, Joseph A. Cartwright.json(8); JFM_709_2012.json(2); 1-s2.0-S0191814106000101-main.json(3); epjbidisperse2007.json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(8); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(4); Dos-Reis-et-al-2016-MPG.json(18); Alves_AAPG_MTDs_14.json(9); 1-s2.0-S0025322713000571-main.json(5); 1-s2.0-S0025322712000412-main.json(1); Wei Li a,⁎, Tiago M. Alves.json(5); 3-s2.0-B9780128130810007047-main.json(10); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(13); 845.json(8); D. Leynaud.json(18); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(6); S. Lafuerza, N. Sultan.json(5); Elverhoi, A., Breien.json(3); Simon E. Lee.json(2)"
mtd volume,FEATURE,302,32,"J. S. Laberg.json(22); RichardsonetalBasinResearch2011-online (1).json(6); 1-s2.0-S0025322713000571-main.json(25); 9781565762879_ch03.json(30); Bull & Cartwright (2009).json(4); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(21); Elverhoi, A., Breien.json(4); JFM_709_2012.json(2); 1-s2.0-S0264817216304585-main.json(25); Alves_AAPG_MTDs_14.json(32); 845.json(14); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(10); epjbidisperse2007.json(7); 3-s2.0-B9780128130810007047-main.json(9); Dos-Reis-et-al-2016-MPG.json(5); Giacomo Dalla Valle.json(15); Moscardelli_and_Wood_2008.json(6); 1-s2.0-S0025322712000412-main.json(5); 1-s2.0-S0040195109002819-main.json(10); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(9); S. Lafuerza, N. Sultan.json(2); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(3); Wei Li a,⁎, Tiago M. Alves.json(6); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(5); 1-s2.0-S0191814106000101-main.json(7); 9781565762879_ch02.json(4); Submarine_Mass_Movements_on_Continental.json(6); lacoste-et-al.json(1); Ian R. Clark, Joseph A. Cartwright.json(2); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(2); D. Leynaud.json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(1)"
sea level evolution,LOCATION,293,32,"9781565762879_ch02.json(7); J. S. Laberg.json(3); 3-s2.0-B9780128130810007047-main.json(21); D. Leynaud.json(21); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(13); 1-s2.0-S0025322713000571-main.json(6); Bull & Cartwright (2009).json(8); 9781565762879_ch03.json(24); Elverhoi, A., Breien.json(9); Moscardelli_and_Wood_2008.json(11); Submarine_Mass_Movements_on_Continental.json(21); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(37); Wei Li a,⁎, Tiago M. Alves.json(13); Giacomo Dalla Valle.json(11); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(8); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(6); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(12); lacoste-et-al.json(4); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(7); 1-s2.0-S0025322712000412-main.json(2); 1-s2.0-S0191814106000101-main.json(2); Dos-Reis-et-al-2016-MPG.json(11); 1-s2.0-S0264817216304585-main.json(6); Ian R. Clark, Joseph A. Cartwright.json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(2); Alves_AAPG_MTDs_14.json(4); S. Lafuerza, N. Sultan.json(6); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); 845.json(2); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(6); RichardsonetalBasinResearch2011-online (1).json(1); Simon E. Lee.json(2)"
runout distance,MEASURE,274,35,"Ian R. Clark, Joseph A. Cartwright.json(12); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(13); 1-s2.0-S0025322713000571-main.json(7); Bull & Cartwright (2009).json(6); Submarine_Mass_Movements_on_Continental.json(10); Elverhoi, A., Breien.json(16); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(9); Dos-Reis-et-al-2016-MPG.json(19); 1-s2.0-S0264817216304585-main.json(9); Wei Li a,⁎, Tiago M. Alves.json(7); Giacomo Dalla Valle.json(7); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(20); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(6); Simon E. Lee.json(5); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(7); epjbidisperse2007.json(11); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(14); RichardsonetalBasinResearch2011-online (1).json(3); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(2); 1-s2.0-S0025322712000412-main.json(3); 1-s2.0-S0191814106000101-main.json(5); Alves_AAPG_MTDs_14.json(10); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(4); J. S. Laberg.json(4); 9781565762879_ch03.json(14); 9781565762879_ch02.json(8); lacoste-et-al.json(5); Moscardelli_and_Wood_2008.json(8); JFM_709_2012.json(4); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(4); 1-s2.0-S0040195109002819-main.json(8); S. Lafuerza, N. Sultan.json(4); D. Leynaud.json(3); 845.json(6); 3-s2.0-B9780128130810007047-main.json(1)"
deformed facies distribution,OTHER,271,36,"9781565762879_ch02.json(6); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(6); Ian R. Clark, Joseph A. Cartwright.json(10); Submarine_Mass_Movements_on_Continental.json(22); 9781565762879_ch03.json(13); Bull & Cartwright (2009).json(11); Moscardelli_and_Wood_2008.json(13); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(15); S. Lafuerza, N. Sultan.json(9); Wei Li a,⁎, Tiago M. Alves.json(10); Alves_AAPG_MTDs_14.json(17); Giacomo Dalla Valle.json(8); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(11); 845.json(8); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(5); Simon E. Lee.json(2); D. Leynaud.json(7); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(8); lacoste-et-al.json(3); 1-s2.0-S0025322712000412-main.json(3); JFM_709_2012.json(2); Dos-Reis-et-al-2016-MPG.json(12); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(12); 3-s2.0-B9780128130810007047-main.json(3); Elverhoi, A., Breien.json(5); RichardsonetalBasinResearch2011-online (1).json(8); 1-s2.0-S0040195109002819-main.json(4); 1-s2.0-S0264817216304585-main.json(15); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(3); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(4); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(4); 1-s2.0-S0025322713000571-main.json(3); epjbidisperse2007.json(5); J. S. Laberg.json(2); 1-s2.0-S0191814106000101-main.json(1); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1)"
post deposition of turbidites,PROCESS,269,36,"9781565762879_ch02.json(14); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(3); 1-s2.0-S0025322713000571-main.json(6); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(5); 9781565762879_ch03.json(18); Elverhoi, A., Breien.json(8); Moscardelli_and_Wood_2008.json(16); S. Lafuerza, N. Sultan.json(5); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(7); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(17); Ian R. Clark, Joseph A. Cartwright.json(10); JFM_709_2012.json(4); 1-s2.0-S0264817216304585-main.json(4); Giacomo Dalla Valle.json(9); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(4); lacoste-et-al.json(4); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(26); Bull & Cartwright (2009).json(4); D. Leynaud.json(15); Wei Li a,⁎, Tiago M. Alves.json(7); J. S. Laberg.json(5); RichardsonetalBasinResearch2011-online (1).json(8); Submarine_Mass_Movements_on_Continental.json(11); 1-s2.0-S0040195109002819-main.json(6); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(9); 845.json(7); Simon E. Lee.json(7); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(5); Dos-Reis-et-al-2016-MPG.json(8); Alves_AAPG_MTDs_14.json(8); epjbidisperse2007.json(3); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); 3-s2.0-B9780128130810007047-main.json(2); 1-s2.0-S0025322712000412-main.json(1); 1-s2.0-S0191814106000101-main.json(1); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1)"
presence of preserved blocks,FEATURE,265,36,"J. S. Laberg.json(6); D. Leynaud.json(6); Submarine_Mass_Movements_on_Continental.json(17); 9781565762879_ch03.json(12); Bull & Cartwright (2009).json(8); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(5); Elverhoi, A., Breien.json(8); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(11); Giacomo Dalla Valle.json(6); 9781565762879_ch02.json(15); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(7); 1-s2.0-S0025322713000571-main.json(6); JFM_709_2012.json(8); Moscardelli_and_Wood_2008.json(10); Alves_AAPG_MTDs_14.json(8); 845.json(6); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(10); Ian R. Clark, Joseph A. Cartwright.json(6); Simon E. Lee.json(5); epjbidisperse2007.json(15); lacoste-et-al.json(3); 1-s2.0-S0025322712000412-main.json(5); Wei Li a,⁎, Tiago M. Alves.json(5); 3-s2.0-B9780128130810007047-main.json(5); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(6); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(11); 1-s2.0-S0040195109002819-main.json(9); 386816a0.json(1); S. Lafuerza, N. Sultan.json(5); RichardsonetalBasinResearch2011-online (1).json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(5); Dos-Reis-et-al-2016-MPG.json(7); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); 1-s2.0-S0191814106000101-main.json(8); 1-s2.0-S0264817216304585-main.json(6); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(7)"
inducing seismicity,FACIES,264,36,"J. S. Laberg.json(5); RichardsonetalBasinResearch2011-online (1).json(14); D. Leynaud.json(11); 3-s2.0-B9780128130810007047-main.json(4); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(10); 1-s2.0-S0025322713000571-main.json(7); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(10); Submarine_Mass_Movements_on_Continental.json(13); Elverhoi, A., Breien.json(4); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(18); Dos-Reis-et-al-2016-MPG.json(14); Wei Li a,⁎, Tiago M. Alves.json(7); Alves_AAPG_MTDs_14.json(19); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(15); Simon E. Lee.json(4); Ian R. Clark, Joseph A. Cartwright.json(4); 9781565762879_ch03.json(16); 1-s2.0-S0191814106000101-main.json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(2); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); lacoste-et-al.json(3); Bull & Cartwright (2009).json(8); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(5); Moscardelli_and_Wood_2008.json(7); 1-s2.0-S0040195109002819-main.json(6); 9781565762879_ch02.json(5); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(2); 845.json(7); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(8); 1-s2.0-S0025322712000412-main.json(3); 1-s2.0-S0264817216304585-main.json(12); Giacomo Dalla Valle.json(5); epjbidisperse2007.json(1); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(6); JFM_709_2012.json(1); S. Lafuerza, N. Sultan.json(1)"
